0,1,2,3,4,5,6,7
Nombre: Plan 120 GB,Cargo fijo mensual Plan solo voz: $8.900,Descuento: -$3.511,Cargo fijo mensual Plan solo datos: $10.900,Descuento: -$4.299,Total cargos fijos: $19.800,Total descuentos: -$7.810,Cargo fijo del Plan: $11.990
Nombre: Plan 300 GB,Cargo fijo mensual Plan solo voz: $14.900,Descuento: -$7.165,Cargo fijo mensual Plan solo datos: $15.900,Descuento: -$7.645,Total cargos fijos: $30.800,Total descuentos: -$14.810,Cargo fijo del Plan: $15.990
Nombre: Plan Libre,Cargo fijo mensual Plan solo voz: $14.900,Descuento: -$5.838,Cargo fijo mensual Plan solo datos: $22.900,Descuento: -$8.972,Total cargos fijos: $37.800,Total descuentos: -$14.810,Cargo fijo del Plan: $22.990
Nombre: Plan Libre Roaming,Cargo fijo mensual Plan solo voz: $14.900,Descuento: -$4.926,Cargo fijo mensual Plan solo datos: $29.900,Descuento: -$9.884,Total cargos fijos: $45.800,Total descuentos: -$14.810,Cargo fijo del Plan: $29.990
Nombre: Plan Libre Roaming Pro,Cargo fijo mensual Plan solo voz: $14.900,Descuento: -$4.027,Cargo fijo mensual Plan solo datos: $39.900,Descuento: -$10.783,Total cargos fijos: $54.800,Total descuentos: -$14.810,Cargo fijo del Plan: $39.990
